adjusted_revenue_B,year,quarter,population,median_house_income,federal_fund_rate,unemp_rate,misery_index,home_ownership_rate,government_spending,gdp_deflated,p_election,midterm_election,violent_crime_rate,cpi_all_items_avg,avg_temperature,avg_precipitation,palmer_drought_index,eci,dow,s_and_p,gas_perc_change,prime,gini,Man_new_order,hdi,construction_res,cli,auto_loan,velocity_of_money,loans_and_leases,wti,soy,brent_oil,case_shiller_index,number_of_disaster,consumer_confidence_index,business_confidence_index,c_e_s_housing,c_e_s_health,c_e_s_entertainment,ease_of_doing_business,wars_started
41.73295178516821,2020,4,331.82,83384.4808848484,1.68,6.7,8.02204,65.8,6884.706326393422,114.692,1,0,396.1,260.474,35.71,2.05,-2.22,142.8,35851.22701812849,5153.650411467299,0.144,3.25,39.7,55221,0.92,860624.4565599638,99.9002239621088,4.95,1.161,6.4,55.136456176382126,519.6801658771731,59.009585706793374,699.323,373,99.2027233333333,101.212466666667,25077.660653270577,6064.134205333354,3751.868236369081,6,7
42.1104162027688,2020,3,331.66,83446.631604426,1.55,7.9,9.27148,67.4,8341.632936203321,113.971,1,0,396.1,260.28,65.91,2.44,-0.96,141.6,32566.64632434302,4621.2057834496945,0.116,3.25,39.7,55936,0.93,788029.448340249,98.8632014546496,4.98,1.112,-13.6,46.418325097447486,430.00418167721307,49.14803123035335,667.893,1086,98.8078066666667,100.421476666667,25096.352316735825,6068.654114799447,3754.66469571231,6,7
43.95876556016598,2020,2,331.45,84250.3569630368,1.42,11.0,11.71602,67.9,10529.124036912763,112.993,1,0,396.1,257.797,70.29,2.73,-0.3,140.8,30550.16933447635,4342.668096981228,0.194,3.25,39.7,47899,0.93,709141.6905627295,96.5802619036479,5.13,1.38,23.1,45.34619351307782,377.1217595405743,48.359338649825666,651.669,2273,98.7519366666667,98.5975366666667,25338.070578788735,6127.105020616997,3790.828159365702,6,7
22.92486464155905,2020,1,329.34,84146.55976599576,1.21,4.4,5.94287,65.3,5763.670539337117,113.418,1,0,396.1,258.115,46.08,2.86,-0.12,140.3,25907.53257439513,3611.3968030706806,0.141,3.78,39.7,41925,0.93,740328.0192937255,97.9306824315302,5.29,1.425,13.1,34.658716331515315,377.47645557969355,40.12792140923791,646.93,5980,100.9861,98.9144233333333,25306.853848090963,6119.5563721596955,3786.1578250004836,6,7
40.56850969529085,2019,4,329.02,86446.00649092904,1.15,3.6,5.91399,65.1,5700.846269887226,112.963,0,0,380.8,256.974,36.43,2.57,4.37,138.9,33884.10846996194,4554.482664000796,-0.025,4.75,41.5,51335,0.93,705706.5950173946,99.1591430502357,5.45,1.443,6.7,71.08183084846931,397.6903900425033,77.58885492837263,638.458,151,101.362733333333,98.8839233333333,24552.480060239555,6165.725081136612,3802.968887903056,8,5
47.1601386910738,2019,3,328.58,86518.39301446102,1.04,3.7,5.21662,64.8,5688.794671372765,112.55,0,0,380.8,256.759,68.43,2.45,4.0,137.9,31985.50813981204,4203.389056430595,0.119,5.15,41.5,53571,0.927,678849.9677362818,98.9575823972583,5.27,1.452,9.3,67.5672429788245,383.17438782332835,74.18725516924432,630.455,619,101.005033333333,99.1335233333333,24573.039352077238,6170.888019504671,3806.1533461339227,8,5
43.95554551154974,2019,2,328.1,86726.46167180053,0.79,3.6,5.24968,64.1,5659.716382075638,112.184,0,0,380.8,256.143,68.72,3.37,5.47,136.7,31684.985323198372,4173.998531233092,0.339,5.5,41.5,56308,0.927,651399.0135275999,99.0901025573322,5.35,1.452,6.0,65.11631625303053,389.052597744907,75.29185738630375,624.417,629,101.465733333333,99.8001766666667,24632.135217437135,6185.728429041591,3815.306789566766,8,5
46.2768244691442,2019,1,327.73,87388.67543134987,0.65,3.8,5.65314,64.2,5633.865375044255,111.562,0,0,380.8,254.202,40.28,2.24,4.36,135.8,31121.20921991172,4083.318440552498,0.11,5.5,41.5,56024,0.927,628667.2271461278,99.3985514184715,5.5,1.459,10.8,69.81981188188921,395.1702685120406,80.34782425000593,620.319,267,101.1165,100.364166666667,24820.217822833805,6232.96054712394,3844.4391743574006,8,5
48.41856893336795,2018,4,327.43,82786.37882762216,0.41,3.9,5.90238,64.8,5586.063375476151,111.132,0,1,383.2,251.233,35.51,3.25,3.68,134.9,28329.94866574056,3697.3027737857474,-0.042,5.35,41.4,56550,0.927,637130.1311292703,99.8610106530033,5.29,1.459,3.7,59.409558855723546,401.3526876513476,70.3748527860591,616.935,395,101.361133333333,100.953333333333,24399.44162988142,6033.369469775069,3889.8716609681046,6,3
50.751712991525785,2018,3,327.01,82390.8758630798,0.4,3.7,6.03206,64.4,5461.344618422668,110.629,0,1,383.2,252.439,67.53,3.57,0.8,133.9,31978.68992425893,4256.804465023774,-0.12,5.03,41.4,56962,0.924,673019.166380789,100.417842827102,5.05,1.457,6.1,84.83535929274002,370.36829372071344,95.6799217513934,611.04,531,101.449,101.437433333333,24282.8759383455,6004.545700149342,3871.2882201244656,6,3
45.52963698160744,2018,2,326.53,82538.00884959263,0.38,4.0,6.80755,64.3,5399.385224700284,110.258,0,1,383.2,251.989,71.55,3.15,-1.64,132.8,29387.892462329703,3985.248798585572,0.014,4.89,41.4,55063,0.924,696889.6897880462,100.692285244877,5.05,1.448,5.9,82.18468504577582,411.62206951614354,91.78231565663587,604.352,214,101.5124,101.250033333333,24326.240109687325,6015.268571247157,3878.201536575009,6,3
47.12444701951275,2018,1,326.14,83343.3658126097,0.36,4.0,6.33095,64.2,5378.335630023962,109.32,0,1,383.2,249.554,42.73,2.48,-1.66,132.0,29468.87563008407,3947.553179199195,0.097,4.58,41.4,54522,0.924,707711.936695064,100.718900127255,4.74,1.441,3.6,76.81759120634844,466.91002665131094,81.78308403646652,597.469,44,101.5181,101.380633333333,24563.601140434534,6073.961996201223,3916.042728227157,6,3
51.301015571780056,2017,4,325.8,83628.85657785853,0.24,4.1,6.22993,64.2,5350.554961354675,108.653,0,0,394.9,246.524,34.29,1.59,-1.54,130.8,30593.59938577988,4095.3373509639528,-0.451,4.4,41.2,53058,0.924,707913.9206121918,100.445020065738,4.81,1.431,5.5,71.6849417095293,442.0287825504673,79.28879196345991,587.936,209,101.4091,101.325533333333,24609.317372750724,6099.110642371533,3964.174388700491,7,7
51.151834993753134,2017,3,325.34,83528.90271413465,0.15,4.3,6.48057,63.9,5263.932830102221,107.91,0,0,394.9,246.819,66.27,2.27,-0.31,129.9,27696.387250616848,3849.843629176814,-0.04,4.25,41.2,52728,0.922,681337.0426506874,100.113460964535,4.42,1.427,8.2,61.48154740923513,437.4295845593761,68.67838209376096,577.901,1005,101.183166666667,101.157866666667,24579.90412407473,6091.820937610151,3959.4363764540008,7,7
45.05821290095172,2017,2,324.8,84164.5209895695,0.14,4.3,5.94057,63.7,5232.049812369618,107.371,0,0,394.9,244.955,70.36,3.07,0.94,129.0,26592.493558694452,3759.796292679721,0.401,4.13,41.2,53149,0.922,676969.42952379,99.9289626133788,4.67,1.434,7.6,56.28172052380672,423.1566939216758,59.354885450203305,568.86,264,101.214533333333,100.6308,24766.946402400437,6138.177020269029,3989.565948847747,7,7
49.636029678920615,2017,1,324.34,84562.90269112925,0.13,4.4,6.8412,63.6,5251.535091808482,107.038,0,0,394.9,243.801,46.15,2.59,-1.23,128.2,25859.345904979884,3700.4226388595857,-0.104,3.88,41.2,52386,0.922,668486.3214588948,99.8972925324803,4.52,1.441,1.5,61.776238951475605,458.1560227159299,65.89628723033742,562.116,190,101.364366666667,100.709533333333,24884.177489017682,6167.231274687142,4008.4500350695853,7,7
48.9949481339289,2016,4,323.91,84237.59324778819,0.12,4.7,6.7508,63.7,5280.566169318897,106.487,1,0,397.9,241.432,32.95,2.72,-1.4,127.3,24974.929269525164,3575.538762960596,-0.167,3.64,41.1,53548,0.922,656204.4947521455,99.6719846859796,4.45,1.448,2.5,65.78148532694321,474.2701215896557,69.5348143388389,554.247,376,100.890333333333,100.01686,23867.128524802014,5828.4018191457635,3681.295424798701,7,7
48.84382704032605,2016,3,323.35,84238.98890352403,0.11,5.0,6.54864,63.5,5249.092314168199,105.929,1,0,397.9,241.428,67.12,2.73,-0.07,126.6,23137.255572468814,3462.965178959452,0.288,3.5,41.1,53820,0.92,618462.8229534271,99.285912672432,4.25,1.458,4.4,57.12231721258512,449.7777170334416,59.87331054656614,545.508,122,100.5222,99.5667733333333,23867.523957453155,5828.498384611561,3681.3564168199214,7,7
45.41982479248471,2016,2,322.73,84382.2893435345,0.11,4.9,5.97929,62.9,5194.806762154693,105.636,1,0,397.9,241.018,71.76,2.48,-0.7,126.0,22697.895256412383,3363.5241578585114,0.345,3.5,41.1,52902,0.92,608778.6513496917,99.1668887539072,4.33,1.468,7.0,61.7664359244387,533.2412565783438,63.14053226126449,538.269,120,100.723866666667,99.6608266666667,23908.125426316703,5838.413346720991,3687.6188375971915,7,7
49.991097801823926,2016,1,322.2,85404.94605092972,0.1,5.0,5.89162,63.5,5240.164946235701,104.895,1,0,397.9,238.132,47.5,2.92,-0.48,125.1,22659.19794403944,3381.3250433063045,-0.074,3.5,41.1,53157,0.92,609774.6840491827,99.1731883081148,4.17,1.493,10.1,48.56198127235243,418.8892695907339,50.9841196917457,533.1,576,100.665366666667,99.1902066666667,24197.875858767402,5909.17099759797,3732.310302689264,7,7
48.32912619891488,2015,4,321.71,83371.73566853398,0.09,5.0,5.63872,63.8,5230.509289555015,104.979,0,0,373.9,236.525,38.66,4.06,3.5,124.3,22477.680914364228,3401.136621330154,0.02,3.37,41.2,53636,0.92,592475.8197399852,99.3206130198932,4.0,1.512,10.5,48.23964779713509,417.06550110357756,49.6961866738969,527.081,151,100.5853,98.9605133333333,23746.96789345735,5601.028550893139,3666.0808709438743,7,2
51.92109607863862,2015,3,321.08,82874.19268738574,0.09,5.0,5.00884,63.7,5148.545276051189,104.989,0,0,373.9,237.945,68.54,2.12,1.09,123.6,20881.331956124315,3156.929511006688,-0.153,3.25,41.2,54613,0.919,582991.6266910421,99.647602667015,4.09,1.521,11.1,58.35596709323583,414.88325984204755,61.587862556091025,518.894,288,100.6238,99.49534,23605.25155393053,5567.602925045704,3644.202559414991,7,2
